Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
74;337;74;6.52494781690967;7.77563256714842;1.1640625
75;255;75;6.61133330727436;8.01108253157418;1.1640625
76;198;76;6.69771879763906;4.44427704334248;1.1640625
77;175;77;6.78410428800375;8.00154189712358;1.1640625
78;125;78;6.87048977836845;12.2220198798931;1.1640625
79;70;79;6.95687526873314;9.98932917658848;0.388020833333333
80;67;80;7.04326075909784;7.01609984431274;1.1640625
81.001;50;81;7.12964624946253;9.97364630192156;0.776041666666667
81.999;32;82;7.21603173982723;11.0361101524187;0.776041666666667
83;27;83;7.30241723019192;12.1764091592278;0.388020833333333
84;25;84;7.38880272055662;6.01298684899646;0.776041666666667
85;16;85;7.47518821092132;13.3099920439523;0.776041666666667
86.001;14;86;7.56157370128601;13.3311203673524;1.1640625
87;8;87;7.64795919165071;8.88770682388131;0.776041666666667
87.999;5;88;7.7343446820154;14.0025190531777;1.1640625
89;12;89;7.8207301723801;13.0003146076135;0.388020833333333
90;10;90;7.90711566274479;5.55059209275972;1.1640625
90.999;5;91;7.99350115310949;13.0111518582577;1.1640625
92;9;92;8.07988664347418;6.00838470085004;0.776041666666667
93;4;93;8.16627213383888;5.54585769905913;1.1640625
94.001;5;94;8.25265762420357;11.0976003991585;1.1640625
95;0;95;8.33904311456827;6.00643168705049;1.1640625
96.001;3;96;8.42542860493296;7.00133515461399;0.388020833333333
97;2;97;8.51181409529766;11.1052648061498;1.1640625
98;4;98;8.59819958566235;10.0133999317887;0.388020833333333
99;2;99;8.68458507602705;8.98003916893529;1.1640625
100.001;0;100;8.77097056639174;9.02055242664888;1.1640625
101;2;101;8.85735605675644;8.87464311454713;1.1640625
102;2;102;8.94374154712114;6.00232109756843;1.1640625
103;0;103;9.03012703748583;6.66662962983539;0.776041666666667
104;2;104;9.11651252785053;13.0123200646372;1.1640625
105;3;105;9.20289801821522;8.88764363126455;0.776041666666667
106;0;106;9.28928350857992;8.87778770856975;1.1640625
107;0;107;9.37566899894461;6.00807545421802;1.1640625
108;4;108;9.46205448930931;6.65346840317756;1.1640625
109;0;109;9.548439979674;8.99373766046702;1.1640625
110.001;1;110;9.6348254700387;9.02044393413232;1.1640625
111;0;111;9.72121096040339;11.0932669748894;1.1640625
112;0;112;9.80759645076809;9.00959341506837;1.1640625
113;0;113;9.89398194113278;12.2136075576915;1.1640625
114;0;114;9.98036743149748;14.999656507866;1.1640625
115.001;0;115;10.0667529218622;12.2014052691214;1.1640625
116;1;116;10.1531384122269;13.3109930499978;1.1640625
117.001;0;117;10.2395239025916;6.00375534897078;1.1640625
118;0;118;10.3259093929563;9.9992944942218;1.1640625
119;0;119;10.412294883321;5.55069438076565;1.1640625
120;0;120;10.4986803736856;11.1099655502188;0.776041666666667
121;0;121;10.5850658640503;4.00345217681207;1.1640625
122;2;122;10.671451354415;8.87216584207279;1.1640625
123;0;123;10.7578368447797;5.99907494264384;1.1640625
124;0;124;10.8442223351444;14.0120657898516;1.1640625
125;1;125;10.9306078255091;7.77032862273811;1.1640625
126;2;126;11.0169933158738;8.00155470207861;1.1640625
127;1;127;11.1033788062385;5.01195300672574;1.1640625
128;1;128;11.1897642966032;5.54075435375855;1.1640625
128.999;1;129;11.2761497869679;7.00370285770087;1.1640625
130;1;130;11.3625352773326;13.0199243902945;1.1640625
131;0;131;11.4489207676973;12.2128685219198;1.1640625
132;0;132;11.535306258062;5.55428732661598;1.1640625
133;1;133;11.6216917484267;4.00314687375746;1.1640625
134;0;134;11.7080772387914;9.98221834172727;0.776041666666667
135;1;135;11.7944627291561;7.000007000007;1.1640625
136;0;136;11.8808482195208;7.76514302727873;1.1640625
137;0;137;11.9672337098855;9.00082267519251;1.1640625
138.001;0;138;12.0536192002502;7.77683764451586;1.1640625
138.999;2;139;12.1400046906149;11.0156333869027;1.1640625
140;0;140;12.2263901809796;7.7752490939891;0.776041666666667
141;1;141;12.3127756713443;12.2135695867017;0.776041666666667
142;0;142;12.3991611617089;13.324764029533;1.1640625
143.001;0;143;12.4855466520736;7.978670619832;1.1640625
144;0;144;12.5719321424383;6.02300426248012;0.388020833333333
145;0;145;12.658317632803;5.55522100780153;1.1640625
146;0;146;12.7447031231677;12.2002874609549;0.388020833333333
146.999;1;147;12.8310886135324;9.00022590567023;0.776041666666667
148;2;148;12.9174741038971;8.88292351225466;1.1640625
149;0;149;13.0038595942618;10.0090932612278;0.776041666666667
150;1;150;13.0902450846265;10.0032730709488;1.1640625
150.999;0;151;13.1766305749912;11.1031254965179;1.1640625
152;1;152;13.2630160653559;9.00121786477711;1.1640625
153;0;153;13.3494015557206;12.0168259597088;0.388020833333333
154;0;154;13.4357870460853;9.99270088715198;1.1640625
155;1;155;13.52217253645;8.00983126689699;0
156;1;156;13.6085580268147;11.0583235891072;1.1640625
157;1;157;13.6949435171794;5.0160508611506;1.1640625
158;1;158;13.7813290075441;5.54788160243681;1.1640625
159;0;159;13.8677144979088;10.0254616649906;0
160.001;2;160;13.9540999882735;12.2202669795055;0.776041666666667
161;2;161;14.0404854786382;8.87364298428156;1.1640625
162;2;162;14.1268709690029;5.00178213497469;1.1640625
