Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
83;10;83;7.30241723019192;17.7702076693107;1.1640625
84;10;84;7.38880272055662;23.0084095736992;1.1640625
85;9;85;7.47518821092132;21.1038232574795;1.1640625
86;6;86;7.56157370128601;28.8759043572296;1.1640625
87;2;87;7.64795919165071;18.8732618280952;1.1640625
87.999;6;88;7.7343446820154;17.0397844888245;1.1640625
88.999;3;89;7.8207301723801;11.0944755613666;1.1640625
90;4;90;7.90711566274479;20.9848153875855;1.1640625
90.999;5;91;7.99350115310949;10.0040356279723;0.776041666666667
92;5;92;8.07988664347418;11.9912487866355;0
93;4;93;8.16627213383888;19.0234406836103;1.1640625
94;7;94;8.25265762420357;20.9900381279045;1.1640625
94.999;4;95;8.33904311456827;22.0051470038842;0.388020833333333
95.999;3;96;8.42542860493296;15.5545427819922;1.1640625
97;6;97;8.51181409529766;17.988780397666;1.1640625
97.999;6;98;8.59819958566235;20.0280151876445;1.1640625
99;7;99;8.68458507602705;16.6339034215607;1.1640625
100;8;100;8.77097056639174;14.0336906812184;1.1640625
100.999;4;101;8.85735605675644;21.0020476996507;1.1640625
102;10;102;8.94374154712114;9.98208659105199;1.1640625
103;6;103;9.03012703748583;18.9894779302788;1.1640625
104;8;104;9.11651252785053;13.0272739006384;1.1640625
105;6;105;9.20289801821522;23.3078138669062;0.776041666666667
106;7;106;9.28928350857992;18.8778998536296;1.1640625
107;14;107;9.37566899894461;13.332742248427;0.388020833333333
108;12;108;9.46205448930931;17.7775229666153;1.1640625
108.999;11;109;9.548439979674;16.0258513007332;1.1640625
109.999;21;110;9.6348254700387;20.9753728147782;0.776041666666667
111;12;111;9.72121096040339;13.3310048511527;1.1640625
112;6;112;9.80759645076809;25.0280364063824;1.1640625
113;8;113;9.89398194113278;24.4075862772118;1.1640625
114;3;114;9.98036743149748;23.0349509310477;1.1640625
115;11;115;10.0667529218622;24.3785681358817;1.1640625
116;10;116;10.1531384122269;18.0417232892788;1.1640625
116.999;2;117;10.2395239025916;26.5968263558591;1.1640625
118;1;118;10.3259093929563;14.025339581021;1.1640625
119;4;119;10.412294883321;23.9977274152138;1.1640625
119.999;3;120;10.4986803736856;14.0117474490613;1.1640625
121;4;121;10.5850658640503;16.6199940300981;1.1640625
122;6;122;10.671451354415;13.0321359440244;1.1640625
122.999;8;123;10.7578368447797;11.0795368930851;0.776041666666667
123.999;9;124;10.8442223351444;15.0150570992591;1.1640625
125.001;5;125;10.9306078255091;23.9867185539367;1.1640625
126;6;126;11.0169933158738;25.012025781996;1.1640625
127;13;127;11.1033788062385;21.0331524548994;1.1640625
127.999;21;128;11.1897642966032;13.3095093116655;1.1640625
129;12;129;11.2761497869679;16.0135939398956;1.1640625
129.999;9;130;11.3625352773326;15.0109384708637;1.1640625
130.999;12;131;11.4489207676973;16.6413477805379;1.1640625
132;15;132;11.535306258062;24.0349419986777;1.1640625
133;10;133;11.6216917484267;19.9859432199353;1.1640625
134;7;134;11.7080772387914;19.0277310151815;0.776041666666667
135;7;135;11.7944627291561;17.0007616341212;1.1640625
136;8;136;11.8808482195208;15.5431883586848;1.1640625
137;7;137;11.9672337098855;15.539974141483;1.1640625
137.999;3;138;12.0536192002502;12.0306878786408;1.1640625
138.999;6;139;12.1400046906149;17.7484652014717;1.1640625
139.999;1;140;12.2263901809796;18.8840168125513;1.1640625
141;5;141;12.3127756713443;12.0031316170389;1.1640625
141.999;1;142;12.3991611617089;25.0345551965378;1.1640625
142.999;1;143;12.4855466520736;28.8588180005323;1.1640625
144;4;144;12.5719321424383;12.2116428689501;1.1640625
145;7;145;12.658317632803;22.2087094563352;1.1640625
145.999;4;146;12.7447031231677;18.0420632662991;1.1640625
147;5;147;12.8310886135324;23.29002423937;1.1640625
147.999;5;148;12.9174741038971;23.9786685764344;1.1640625
148.999;3;149;13.0038595942618;25.0364079444328;1.1640625
150;8;150;13.0902450846265;17.0152490662131;1.1640625
151;9;151;13.1766305749912;17.7447784048709;0.776041666666667
152;3;152;13.2630160653559;19.9646315460699;0.388020833333333
153;5;153;13.3494015557206;12.207180263431;1.1640625
153.999;4;154;13.4357870460853;26.0663440588987;0.388020833333333
154.999;8;155;13.52217253645;16.6265560239564;1.1640625
156;3;156;13.6085580268147;21.0525281630196;1.1640625
157;4;157;13.6949435171794;9.98111351520401;1.1640625
