Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
44;0;44;3.93338310596881;8.87452596164918;1.1640625
45.001;1;45;4.0197685963335;6.00775120059901;1.1640625
46;4;46;4.1061540866982;1.10926111008196;1.1640625
47.001;2;47;4.19253957706289;3.00052689252233;0.776041666666667
48;1;48;4.27892506742759;2.00084695851754;1.1640625
49;0;49;4.36531055779228;3.33065844452922;1.1640625
50;2;50;4.45169604815698;2.00166077794746;1.1640625
51.001;0;51;4.53808153852167;1.10990563027379;1.1640625
52;0;52;4.62446702888637;2.22100511142116;0.776041666666667
53.001;1;53;4.71085251925106;4.00248394153412;1.1640625
54;0;54;4.79723800961576;4.43592697177786;1.1640625
55.001;1;55;4.88362349998046;5.0022825415237;0.388020833333333
56;1;56;4.97000899034515;3.33243024473701;0
57;0;57;5.05639448070985;6.99294551656289;0.388020833333333
58;0;58;5.14277997107454;2.00118750466527;1.1640625
59;2;59;5.22916546143924;4.00028842079514;1.1640625
60;1;60;5.31555095180393;5.9949300876249;1.1640625
61.001;1;61;5.40193644216863;5.00069759731483;1.1640625
62;4;62;5.48832193253332;2.00226135397318;1.1640625
63;1;63;5.57470742289802;8.88541765239269;1.1640625
64;1;64;5.66109291326271;5.00046454315606;0.776041666666667
64.999;2;65;5.74747840362741;1.11098186688726;1.1640625
66;0;66;5.8338638939921;6.00865847686516;1.1640625
66.999;3;67;5.9202493843568;4.4367304491036;1.1640625
68;1;68;6.00663487472149;8.00238791255311;1.1640625
69;0;69;6.09302036508619;3.99989440278777;1.1640625
70;1;70;6.17940585545088;4.00171393407797;1.1640625
70.999;3;71;6.26579134581558;2.9992912674735;1.1640625
72;0;72;6.35217683618028;6.99986630255362;1.1640625
73.001;1;73;6.43856232654497;3.00310160333593;1.1640625
74;2;74;6.52494781690967;1.10967666907023;1.1640625
74.999;1;75;6.61133330727436;3.99539371059106;1.1640625
76.001;3;76;6.69771879763906;8.00842726801413;1.1640625
77;1;77;6.78410428800375;4.44395314073611;1.1640625
78.001;2;78;6.87048977836845;7.00882691661879;1.1640625
79;1;79;6.95687526873314;3.33129088187931;1.1640625
80;4;80;7.04326075909784;5.55067281370377;1.1640625
80.999;4;81;7.12964624946253;3.33301262345201;1.1640625
82;0;82;7.21603173982723;7.77693959651015;1.1640625
83;0;83;7.30241723019192;0;1.1640625
84;3;84;7.38880272055662;2.99986110643077;1.1640625
84.999;2;85;7.47518821092132;6.66542171401097;1.1640625
86.001;4;86;7.56157370128601;4.00154980023763;1.1640625
87;3;87;7.64795919165071;5.00058256786916;0.776041666666667
87.999;1;88;7.7343446820154;2.22082162405132;1.1640625
88.999;0;89;7.8207301723801;4.00152458086531;1.1640625
90;0;90;7.90711566274479;7.00819257712266;0.776041666666667
91;3;91;7.99350115310949;5.54800164309617;1.1640625
91.999;2;92;8.07988664347418;2.99723774569357;1.1640625
93;2;93;8.16627213383888;3.00185034054992;0.776041666666667
94;1;94;8.25265762420357;2.00357758814139;1.1640625
94.999;0;95;8.33904311456827;3.32722823920642;1.1640625
95.999;2;96;8.42542860493296;4.44145041337134;1.1640625
97;1;97;8.51181409529766;1.00216728697481;1.1640625
98;0;98;8.59819958566235;3.3330877958657;0.776041666666667
99;2;99;8.68458507602705;2.21682572945482;1.1640625
99.999;0;100;8.77097056639174;3.98776792068011;1.1640625
101;0;101;8.85735605675644;5.02171136910432;1.1640625
101.999;4;102;8.94374154712114;2.21888698853545;1.1640625
103.001;0;103;9.03012703748583;1.10785807053001;1.1640625
104;1;104;9.11651252785053;3.00406600333551;1.1640625
104.999;1;105;9.20289801821522;9.00979635157307;0.776041666666667
105.999;1;106;9.28928350857992;3.00074808649796;0
107;3;107;9.37566899894461;7.76321657122901;0.776041666666667
107.999;5;108;9.46205448930931;8.01212876051767;1.1640625
108.999;3;109;9.548439979674;2.99723714679808;1.1640625
110.001;3;110;9.6348254700387;5.54636891983467;1.1640625
111;5;111;9.72121096040339;6.00671731196998;1.1640625
112;2;112;9.80759645076809;7.00923396482526;1.1640625
113;1;113;9.89398194113278;8.87903217661372;1.1640625
114.001;2;114;9.98036743149748;5.55357663108268;0.776041666666667
115;1;115;10.0667529218622;5.55310416857092;1.1640625
116;2;116;10.1531384122269;1.0003971576716;1.1640625
116.999;4;117;10.2395239025916;3.99980320968208;1.1640625
118.001;3;118;10.3259093929563;4.00095582834739;0.776041666666667
119;1;119;10.412294883321;5.00618012936971;0.388020833333333
120;0;120;10.4986803736856;3.32812998699478;0.776041666666667
121;1;121;10.5850658640503;6.99996360018928;1.1640625
122;1;122;10.671451354415;4.00131843442414;1.1640625
122.999;0;123;10.7578368447797;4.43811175209773;1.1640625
124;1;124;10.8442223351444;3.00670495204306;0.776041666666667
125;3;125;10.9306078255091;4.44433284230863;1.1640625
126;3;126;11.0169933158738;3.33289005895549;1.1640625
127.001;2;127;11.1033788062385;5.99429522923034;1.1640625
128.001;4;128;11.1897642966032;3.00000570001083;1.1640625
129;1;129;11.2761497869679;2.00217376005129;1.1640625
130;3;130;11.3625352773326;3.00062172882221;1.1640625
131;5;131;11.4489207676973;2.99745216565919;1.1640625
131.999;3;132;11.535306258062;1.00232509351944;1.1640625
132.999;1;133;11.6216917484267;4.43379692744524;1.1640625
134;0;134;11.7080772387914;1.00088197719831;1.1640625
135;4;135;11.7944627291561;5.99276852621941;1.1640625
135.999;1;136;11.8808482195208;2.00472312768883;1.1640625
137;2;137;11.9672337098855;4.43812307780729;1.1640625
138;1;138;12.0536192002502;6.00820420283898;1.1640625
138.999;2;139;12.1400046906149;6.65698592979454;1.1640625
140;2;140;12.2263901809796;3.33232474970909;0.776041666666667
140.999;3;141;12.3127756713443;0.99985452116717;0.388020833333333
142.001;2;142;12.3991611617089;5.55301967656992;0.776041666666667
142.999;1;143;12.4855466520736;5.55210954623053;0.776041666666667
143.999;2;144;12.5719321424383;3.00077269896998;0.776041666666667
145.001;0;145;12.658317632803;3.33317037833706;1.1640625
145.999;1;146;12.7447031231677;5.00687343585274;0
147;1;147;12.8310886135324;6.65361006584745;0.776041666666667
147.999;2;148;12.9174741038971;5.00317351295927;0
149;3;149;13.0038595942618;5.00529259639142;0.776041666666667
150.001;2;150;13.0902450846265;4.4399699414035;1.1640625
