Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
42.999;9;43;3.84699761560411;78.0207691287421
44;13;44;3.93338310596881;101.102011930037
45;25;45;4.0197685963335;78.7522886690653
46.001;16;46;4.1061540866982;62.1841517026798
47;19;47;4.19253957706289;62.1312273653183
48;19;48;4.27892506742759;67.6920495576824
49.001;22;49;4.36531055779228;53.2767652479212
50;22;50;4.45169604815698;66.9943657738384
51;17;51;4.53808153852167;62.0867662558425
52;27;52;4.62446702888637;85.4194728442621
53;22;53;4.71085251925106;49.9890301850427
54;23;54;4.79723800961576;83.0535363095051
55.001;23;55;4.88362349998046;78.0537478107425
56;17;56;4.97000899034515;72.1942028499384
57;21;57;5.05639448070985;77.0032110339001
57.999;20;58;5.14277997107454;75.9295601470516
59;29;59;5.22916546143924;84.9853315317776
59.999;21;60;5.31555095180393;70.0925431847669
60.999;11;61;5.40193644216863;71.9700100967927
62;20;62;5.48832193253332;67.9404094668566
63;26;63;5.57470742289802;69.0913802595313
63.999;18;64;5.66109291326271;66.6283479634379
65;18;65;5.74747840362741;79.0944941922114
66;24;66;5.8338638939921;68.8868605535504
67;23;67;5.9202493843568;64.4045780106559
68;24;68;6.00663487472149;64.4364829589944
69;31;69;6.09302036508619;65.539287248032
70;37;70;6.17940585545088;63.2637713021327
71.001;37;71;6.26579134581558;68.0744598441776
72;27;72;6.35217683618028;69.0876307508444
73.001;28;73;6.43856232654497;64.3100863828603
74;18;74;6.52494781690967;75.16034708447
75;24;75;6.61133330727436;63.2283882595754
75.999;20;76;6.69771879763906;65.5226122421782
77.001;33;77;6.78410428800375;62.9558805189323
78;18;78;6.87048977836845;75.1607764168333
79;40;79;6.95687526873314;66.6092420989505
79.999;34;80;7.04326075909784;77.9922319736954
81;39;81;7.12964624946253;73.3115190835438
82;56;82;7.21603173982723;64.9627373738424
83;117;83;7.30241723019192;59.9634223123894
84;208;84;7.38880272055662;74.3828636980651
85;452;85;7.47518821092132;73.2902386729936
86;805;86;7.56157370128601;73.0850856567216
87;1171;87;7.64795919165071;75.4428941669329
88;1743;88;7.7343446820154;90.1130468172322
89;2068;89;7.8207301723801;63.2535003876774
89.999;2192;90;7.90711566274479;78.0946428977278
91;2101;91;7.99350115310949;71.109396584549
92;1795;92;8.07988664347418;70.9192300888518
93;1521;93;8.16627213383888;68.8487424221965
94;1249;94;8.25265762420357;65.1194290328462
95;939;95;8.33904311456827;56.6558328124144
95.999;656;96;8.42542860493296;67.5924318194586
97.001;504;97;8.51181409529766;73.1055790773034
97.999;442;98;8.59819958566235;51.0458391635689
99.001;357;99;8.68458507602705;67.6272770298189
99.999;371;100;8.77097056639174;62.0165087946411
101;297;101;8.85735605675644;65.9640957426872
102.001;252;102;8.94374154712114;65.551462230914
103;195;103;9.03012703748583;52.052025999987
103.999;175;104;9.11651252785053;87.0079873332372
105;99;105;9.20289801821522;78.016718982878
106;85;106;9.28928350857992;84.0108373980243
107;45;107;9.37566899894461;64.9982190487981
107.999;21;108;9.46205448930931;67.7691108614887
109;13;109;9.548439979674;77.971236410888
110;2;110;9.6348254700387;82.1076184555096
110.999;0;111;9.72121096040339;69.8618675629686
111.999;2;112;9.80759645076809;77.0434987593996
112.999;1;113;9.89398194113278;84.1098979927173
113.999;0;114;9.98036743149748;84.286781337354
115;0;115;10.0667529218622;66.9365508434555
115.999;3;116;10.1531384122269;62.1058718797935
117.001;1;117;10.2395239025916;88.8318292439046
118;1;118;10.3259093929563;71.0271749971539
119;0;119;10.412294883321;95.4984792977619
119.999;1;120;10.4986803736856;74.0340926996882
121;0;121;10.5850658640503;63.2981395677337
122.001;0;122;10.671451354415;74.9244910978716
123;1;123;10.7578368447797;87.1232183677375
124;1;124;10.8442223351444;75.4206364170761
124.999;2;125;10.9306078255091;89.1283715936063
126;1;126;11.0169933158738;78.7709687486721
126.999;2;127;11.1033788062385;62.994771433971
127.999;1;128;11.1897642966032;54.0716665868943
129;0;129;11.2761497869679;64.424601667131
130;1;130;11.3625352773326;53.0181056830908
131;0;131;11.4489207676973;70.8686520403085
132;2;132;11.535306258062;68.0929809655084
133;2;133;11.6216917484267;75.4322657079374
134;2;134;11.7080772387914;59.9878091441195
134.999;0;135;11.7944627291561;88.1297004801967
136;2;136;11.8808482195208;68.0134190475781
136.999;5;137;11.9672337098855;64.0013760295846
138;0;138;12.0536192002502;66.6614892909984
139;0;139;12.1400046906149;73.1230720021839
140;3;140;12.2263901809796;72.179134175196
141;3;141;12.3127756713443;73.8289309840169
142;3;142;12.3991611617089;83.0853785349826
143;3;143;12.4855466520736;62.0239722652805
144;4;144;12.5719321424383;68.7830012796966
145.001;5;145;12.658317632803;72.9932992151321
145.999;3;146;12.7447031231677;79.1823807776452
147;1;147;12.8310886135324;83.0969686225847
148;4;148;12.9174741038971;92.222921245234
149;0;149;13.0038595942618;80.911663859697
150;1;150;13.0902450846265;81.1789834226503
151;1;151;13.1766305749912;63.275057005831
152;1;152;13.2630160653559;52.1804488739848
152.999;1;153;13.3494015557206;66.0988905501521
154;0;154;13.4357870460853;69.9604490261506
154.999;0;155;13.52217253645;72.1119393634739
156;1;156;13.6085580268147;74.3278488255867
157;1;157;13.6949435171794;82.201425261631
158;1;158;13.7813290075441;79.9916728668546
159;0;159;13.8677144979088;66.6566089250089
159.999;0;160;13.9540999882735;75.5183837288979
161;0;161;14.0404854786382;56.0813516086435
162;1;162;14.1268709690029;75.4762384152299
163;2;163;14.2132564593675;59.9323496954937
163.999;3;164;14.2996419497322;66.0612123193351
164.999;0;165;14.3860274400969;69.0479399847314
166;0;166;14.4724129304616;75.5077172218223
167;1;167;14.5587984208263;76.0493332024484
168.001;1;168;14.645183911191;59.9552600526096
169;1;169;14.7315694015557;81.0125188756395
170;2;170;14.8179548919204;76.5844320054555
171;0;171;14.9043403822851;65.046033077609
171.999;4;172;14.9907258726498;68.8370163727733
172.999;2;173;15.0771113630145;70.9439755425141
173.999;2;174;15.1634968533792;61.0052769564567
174.999;1;175;15.2498823437439;70.0725811795858
176;0;176;15.3362678341086;78.848115652195
176.999;0;177;15.4226533244733;62.0311458383254
178;1;178;15.509038814838;83.2967290485126
179;1;179;15.5954243052027;61.0809200028197
180;3;180;15.6818097955674;74.9991825089107
181;0;181;15.7681952859321;75.4312950688122
182;0;182;15.8545807762968;60.9321763944553
182.999;1;183;15.9409662666615;62.0122350139683
183.999;2;184;16.0273517570261;64.0878901325277
184.999;4;185;16.1137372473908;68.8882535861058
186;0;186;16.2001227377555;55.4632892925236
187;1;187;16.2865082281202;78.0064199283601
188;2;188;16.3728937184849;61.0944826173678
189;1;189;16.4592792088496;78.8442630360105
190;3;190;16.5456646992143;58.7553966277506
191;2;191;16.632050189579;70.0497563419297
191.999;3;192;16.7184356799437;65.1172305501595
193;1;193;16.8048211703084;85.4646876004834
193.999;1;194;16.8912066606731;66.6137161638404
194.999;1;195;16.9775921510378;71.0627095100781
195.999;1;196;17.0639776414025;75.9652383069507
197;2;197;17.1503631317672;79.0197233229414
197.999;2;198;17.2367486221319;65.0023790870746
199;2;199;17.3231341124966;86.1290385255189
200;5;200;17.4095196028613;67.7151563060072
200.999;3;201;17.495905093226;47.0296286660596
202.001;2;202;17.5822905835907;69.8940173716588
203;2;203;17.6686760739554;78.9102159562849
204;1;204;17.7550615643201;65.0581099037661
204.999;0;205;17.8414470546847;70.072384773471
206;1;206;17.9278325450494;84.9500493709699
207;2;207;18.0142180354141;68.849583426706
207.999;2;208;18.1006035257788;59.012038455845
209;2;209;18.1869890161435;62.144261689085
210;0;210;18.2733745065082;70.9754533612533
211;2;211;18.3597599968729;80.9959178057426
212;0;212;18.4461454872376;82.9487874186477
213;1;213;18.5325309776023;76.1036607963707
214;1;214;18.618916467967;72.1607492816953
214.999;1;215;18.7053019583317;85.95057841741
216;2;216;18.7916874486964;70.9943701464474
216.999;0;217;18.8780729390611;66.0919669720416
