Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
58.999;20;59;5.22916546143924;74.1448716647458
60;17;60;5.31555095180393;74.4435345790218
60.999;15;61;5.40193644216863;72.8481916534135
62;19;62;5.48832193253332;70.0750433639384
63;21;63;5.57470742289802;81.9280016721305
64;25;64;5.66109291326271;64.0621466885025
65.001;22;65;5.74747840362741;77.7712709147779
66;21;66;5.8338638939921;84.2756964083362
67.001;18;67;5.9202493843568;79.8693337699524
68;22;68;6.00663487472149;73.11435816761
69;21;69;6.09302036508619;83.1955522548491
70.001;19;70;6.17940585545088;67.7561259313135
71;28;71;6.26579134581558;67.097519534892
71.999;31;72;6.35217683618028;84.0282502977501
73;18;73;6.43856232654497;70.9655292703424
74;34;74;6.52494781690967;77.0775091431944
75.001;23;75;6.61133330727436;74.4435097648218
75.999;34;76;6.69771879763906;101.183070529509
76.999;29;77;6.78410428800375;74.3660130893063
78;33;78;6.87048977836845;72.0602707670217
78.999;31;79;6.95687526873314;57.1692323616369
80;37;80;7.04326075909784;79.8383273870412
81;31;81;7.12964624946253;69.0698157697801
81.999;22;82;7.21603173982723;72.221090758467
83;23;83;7.30241723019192;68.8206493916477
84;43;84;7.38880272055662;76.9983522352622
85.001;25;85;7.47518821092132;74.3723363325736
86;39;86;7.56157370128601;77.068591046031
87;32;87;7.64795919165071;72.2207376848365
87.999;58;88;7.7343446820154;75.001057514911
88.999;75;89;7.8207301723801;100.180073682444
89.999;147;90;7.90711566274479;71.0496452735445
91;274;91;7.99350115310949;67.7611687624122
92;505;92;8.07988664347418;78.8185739632943
93;972;93;8.16627213383888;70.0622152471395
94;1508;94;8.25265762420357;93.2430533370246
94.999;1983;95;8.33904311456827;80.9981127439731
96;2243;96;8.42542860493296;85.5471149068848
97;2416;97;8.51181409529766;79.9178089733492
98;2199;98;8.59819958566235;85.0814910521297
99;1971;99;8.68458507602705;87.9203617363392
100;1534;100;8.77097056639174;54.1048931563622
101.001;1273;101;8.85735605675644;87.9908665480523
101.999;900;102;8.94374154712114;77.9943766054468
103;615;103;9.03012703748583;82.0150333556141
104;421;104;9.11651252785053;85.0019295438006
105;363;105;9.20289801821522;86.5599958983879
105.999;320;106;9.28928350857992;95.0926963604121
107;367;107;9.37566899894461;95.0092443994801
108;329;108;9.46205448930931;54.3890763647052
109;320;109;9.548439979674;61.1109277783278
109.999;248;110;9.6348254700387;65.9427023858969
110.999;211;111;9.72121096040339;79.0527439907907
111.999;142;112;9.80759645076809;69.0775879467818
113.001;119;113;9.89398194113278;82.1476595299222
114;61;114;9.98036743149748;69.9239072502657
115;33;115;10.0667529218622;74.4398539867819
116;18;116;10.1531384122269;63.0663016028751
117;7;117;10.2395239025916;72.1242054270469
118;5;118;10.3259093929563;70.0132605115409
119;1;119;10.412294883321;79.99944000392
120;2;120;10.4986803736856;74.0765655381402
121;0;121;10.5850658640503;47.9099436788668
121.999;0;122;10.671451354415;69.1272494407706
123;1;123;10.7578368447797;74.4277643554772
124;0;124;10.8442223351444;83.2574118245729
125;1;125;10.9306078255091;71.0038200055163
126;0;126;11.0169933158738;71.9975736817669
127;0;127;11.1033788062385;95.5553007414203
128;0;128;11.1897642966032;81.1109849384679
129;1;129;11.2761497869679;78.8841646039198
130;2;130;11.3625352773326;86.6565374802856
131;1;131;11.4489207676973;65.0134187696341
132;0;132;11.535306258062;83.3212795215625
133;1;133;11.6216917484267;80.9267774517616
134;0;134;11.7080772387914;69.9996570016807
135;1;135;11.7944627291561;86.0009460104061
136;1;136;11.8808482195208;79.067262520226
137;1;137;11.9672337098855;72.1538524384894
138;1;138;12.0536192002502;84.0749359904483
139;0;139;12.1400046906149;68.93763901175
