Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
90.999;422;91;7.99350115310949;55.5203679801157
91.999;364;92;8.07988664347418;61.0026902186386
92.999;296;93;8.16627213383888;63.2800936811829
94;254;94;8.25265762420357;65.9441387200902
95;228;95;8.33904311456827;60.9743176174196
95.999;181;96;8.42542860493296;52.9925492475758
97;128;97;8.51181409529766;59.0620565027675
97.999;89;98;8.59819958566235;42.0511804917765
98.999;56;99;8.68458507602705;62.1543841649275
100;18;100;8.77097056639174;64.3408556668209
101;13;101;8.85735605675644;54.0365557299513
101.999;6;102;8.94374154712114;49.9337046847469
102.999;1;103;9.03012703748583;56.0718785411018
103.999;1;104;9.11651252785053;66.5502407177665
104.999;1;105;9.20289801821522;58.0721197655368
106;0;106;9.28928350857992;65.5290381381223
106.999;0;107;9.37566899894461;49.9892745234328
107.999;1;108;9.46205448930931;61.8264099886748
109;0;109;9.548439979674;61.0768468887554
109.999;0;110;9.6348254700387;71.0095010712433
111;0;111;9.72121096040339;67.6651003490077
111.999;0;112;9.80759645076809;67.1513120514455
112.999;1;113;9.89398194113278;47.9991744142001
114;0;114;9.98036743149748;59.8892780336442
115;0;115;10.0667529218622;65.0161370052047
115.999;0;116;10.1531384122269;67.7340817690277
117;1;117;10.2395239025916;55.502242568111
118;0;118;10.3259093929563;59.0491466047191
118.999;0;119;10.412294883321;73.9809573015906
120.001;0;120;10.4986803736856;62.9499610759407
121;0;121;10.5850658640503;71.1688837611652
122.001;1;122;10.671451354415;49.891624304982
123;0;123;10.7578368447797;71.004714713057
123.999;1;124;10.8442223351444;60.0275166136157
124.999;1;125;10.9306078255091;70.9705188464712
126;0;126;11.0169933158738;66.6503817567241
127;0;127;11.1033788062385;65.0637038724615
128;1;128;11.1897642966032;66.5626809672889
128.999;1;129;11.2761497869679;56.0666744893027
129.999;3;130;11.3625352773326;69.9816181616296
130.999;2;131;11.4489207676973;72.1252138096483
132;1;132;11.535306258062;69.9706589703384
133;3;133;11.6216917484267;68.992038318778
133.999;4;134;11.7080772387914;45.5163305933242
135;3;135;11.7944627291561;60.13195958531
136;2;136;11.8808482195208;64.2381187446055
137;1;137;11.9672337098855;54.9928399322408
137.999;0;138;12.0536192002502;72.2195661470673
