wert,wert,wert,wert
s,t,U,I
263,31.5572394,-0.476,-0.088596597
264,31.6776971,-0.474,-0.088541254
265,31.79812912,-0.472,-0.088645354
266,31.91857606,-0.47,-0.088466272
267,32.03900708,-0.468,-0.088658497
268,32.15947022,-0.466,-0.088752016
269,32.27990998,-0.464,-0.088666216
270,32.40037442,-0.462,-0.088552132
271,32.52082576,-0.46,-0.088558957
272,32.64125628,-0.458,-0.088595465
273,32.76172174,-0.456,-0.088707373
274,32.88215428,-0.454,-0.088586852
275,33.00261466,-0.452,-0.088577673
276,33.12305242,-0.45,-0.088635311
277,33.24351492,-0.448,-0.088776067
278,33.36393962,-0.446,-0.088826761
279,33.48439148,-0.444,-0.08876802
280,33.60483192,-0.442,-0.088760421
281,33.72528442,-0.44,-0.08877264
282,33.84572908,-0.438,-0.088535622
283,33.96619312,-0.436,-0.088486686
284,34.08664898,-0.434,-0.088411078
285,34.20708532,-0.432,-0.088414595
286,34.32754396,-0.43,-0.088624522
287,34.44798772,-0.428,-0.088584706
288,34.5684479,-0.426,-0.088646784
289,34.68890032,-0.424,-0.088776156
290,34.80935896,-0.422,-0.08879827
291,34.92980186,-0.42,-0.088654771
292,35.05024704,-0.418,-0.088687256
293,35.17070398,-0.416,-0.088537291
294,35.29114912,-0.414,-0.088654831
295,35.4115916,-0.412,-0.088458374
296,35.53204638,-0.41,-0.088643417
297,35.6524787,-0.408,-0.088592753
298,35.77293112,-0.406,-0.0886233
299,35.89338508,-0.404,-0.088646606
300,36.0138213,-0.402,-0.088513568
301,36.13425908,-0.4,-0.088814989
302,36.25469236,-0.398,-0.088636175
303,36.37513442,-0.396,-0.088717207
304,36.49558044,-0.394,-0.088784561
305,36.61603068,-0.392,-0.088589415
306,36.7364595,-0.39,-0.08862941
307,36.85691026,-0.388,-0.088568583
308,36.97735418,-0.386,-0.088734791
309,37.09780986,-0.384,-0.088636741
310,37.21827106,-0.382,-0.088648364
311,37.33870896,-0.38,-0.088675901
312,37.45916184,-0.378,-0.088741347
313,37.57959898,-0.376,-0.088763639
314,37.70006452,-0.374,-0.088743195
315,37.82050752,-0.372,-0.088627592
316,37.94096142,-0.37,-0.088504866
317,38.06138164,-0.368,-0.088679835
318,38.18183406,-0.366,-0.08873336
319,38.30227096,-0.364,-0.088705614
320,38.42271546,-0.362,-0.088678733
321,38.54317742,-0.36,-0.08876206
322,38.66361598,-0.358,-0.088756606
323,38.78407646,-0.356,-0.088565066
324,38.90451936,-0.354,-0.08840172
325,39.02498366,-0.352,-0.088581428
326,39.14541452,-0.35,-0.088601366
327,39.26588642,-0.348,-0.088697478
328,39.38631606,-0.346,-0.088685736
329,39.50677814,-0.344,-0.088761345
330,39.6272184,-0.342,-0.088757977
331,39.74766512,-0.34,-0.088699147
332,39.86808038,-0.338,-0.088501737
333,39.98853458,-0.336,-0.088481501
334,40.10897966,-0.334,-0.088459834
335,40.22942502,-0.332,-0.088416651
336,40.34988062,-0.33,-0.088421956
337,40.4703083,-0.328,-0.088455871
338,40.59076758,-0.326,-0.088562414
339,40.71121974,-0.324,-0.088663116
340,40.83166686,-0.322,-0.088604346
341,40.95212304,-0.32,-0.088562474
342,41.07258156,-0.318,-0.088557497
343,41.19303962,-0.316,-0.088632271
344,41.31348202,-0.314,-0.088623509
345,41.43392912,-0.312,-0.088575795
346,41.55438984,-0.31,-0.088749215
347,41.67483196,-0.308,-0.088753715
348,41.79527062,-0.306,-0.08874099
349,41.91572628,-0.304,-0.08867912
350,42.03616034,-0.302,-0.088669881
351,42.15661436,-0.3,-0.088668928
352,42.27705096,-0.298,-0.088480309
353,42.39749692,-0.296,-0.08838065
354,42.5179277,-0.294,-0.08845441
355,42.63837984,-0.292,-0.088493392
356,42.75882682,-0.29,-0.088547543
357,42.87927802,-0.288,-0.088641807
358,42.99971994,-0.286,-0.088640258
359,43.12017666,-0.284,-0.088579521
360,43.24061894,-0.282,-0.088667557
361,43.3610581,-0.28,-0.088647798
362,43.48151732,-0.278,-0.088649973
363,43.60195098,-0.276,-0.08867009
364,43.7224223,-0.274,-0.088678256
365,43.84285644,-0.272,-0.088687673
366,43.96330718,-0.27,-0.088723287
367,44.0837422,-0.268,-0.088716105
368,44.2041939,-0.266,-0.088666454
369,44.3246331,-0.264,-0.088714674
370,44.44508812,-0.262,-0.088616654
371,44.56552902,-0.26,-0.088670269
372,44.68597678,-0.258,-0.088684276
373,44.80641872,-0.256,-0.088697925
374,44.92687798,-0.254,-0.088530913
375,45.04730992,-0.252,-0.08864139
376,45.16775046,-0.25,-0.088698313
377,45.28822012,-0.248,-0.088669255
378,45.40865454,-0.246,-0.088622555
379,45.52909924,-0.244,-0.088640019
380,45.64954428,-0.242,-0.088676497
381,45.76999148,-0.24,-0.088717327
382,45.89042488,-0.238,-0.08873482
383,46.01087272,-0.236,-0.088846371
384,46.13130716,-0.234,-0.08884041
385,46.2517553,-0.232,-0.088767543
386,46.37218264,-0.23,-0.088786647
387,46.49264086,-0.228,-0.08869575
388,46.61309382,-0.226,-0.088813379
389,46.73354194,-0.224,-0.088748381
390,46.85400702,-0.222,-0.088758394
