wert,wert,wert,wert
s,t,U,I
313,37.57930574,-0.376,-0.035199076
314,37.69975296,-0.374,-0.035199359
315,37.82019328,-0.372,-0.035198957
316,37.94064372,-0.37,-0.035198078
317,38.06106996,-0.368,-0.035195917
318,38.18151084,-0.366,-0.035193145
319,38.30196236,-0.364,-0.035186231
320,38.42242992,-0.362,-0.035182431
321,38.54287836,-0.36,-0.035176396
322,38.66333442,-0.358,-0.035177514
323,38.78376462,-0.356,-0.03517516
324,38.90422752,-0.354,-0.035170346
325,39.0246748,-0.352,-0.035160139
326,39.1451007,-0.35,-0.035158858
327,39.26555876,-0.348,-0.03515543
328,39.38599408,-0.346,-0.035156757
329,39.50644434,-0.344,-0.035164908
330,39.6268788,-0.342,-0.03516835
331,39.74733882,-0.34,-0.035176933
332,39.86777956,-0.338,-0.035186574
333,39.9882446,-0.336,-0.035192117
334,40.10867728,-0.334,-0.035200909
335,40.22912698,-0.332,-0.035205454
336,40.34955598,-0.33,-0.035205126
337,40.47001724,-0.328,-0.035200208
338,40.59045286,-0.326,-0.035198733
339,40.71094178,-0.324,-0.035186484
340,40.83139474,-0.322,-0.035188898
341,40.95182842,-0.32,-0.035182729
342,41.07229034,-0.318,-0.035181612
343,41.19273014,-0.316,-0.035173491
344,41.31317992,-0.314,-0.035175398
345,41.43361088,-0.312,-0.035176694
346,41.55405664,-0.31,-0.035172477
347,41.67449242,-0.308,-0.035175785
348,41.79495434,-0.306,-0.035175025
349,41.91540788,-0.304,-0.035176352
350,42.03586392,-0.302,-0.035179034
351,42.15630224,-0.3,-0.035177246
352,42.2767454,-0.298,-0.035181105
353,42.39717806,-0.296,-0.035172895
354,42.51763118,-0.294,-0.035180524
355,42.638084,-0.292,-0.035177156
356,42.75851452,-0.29,-0.035179645
357,42.87896286,-0.288,-0.035181701
358,42.99941662,-0.286,-0.035177976
359,43.11986286,-0.284,-0.035181105
360,43.24029874,-0.282,-0.035180435
361,43.3607559,-0.28,-0.035185307
362,43.48120128,-0.278,-0.035183936
363,43.60167396,-0.276,-0.035191268
364,43.72212586,-0.274,-0.035191074
365,43.84257458,-0.272,-0.035197034
366,43.96302118,-0.27,-0.035195664
367,44.08346946,-0.268,-0.035192266
368,44.2039289,-0.266,-0.035200998
369,44.32435946,-0.264,-0.035196066
370,44.4448099,-0.262,-0.035195038
371,44.56524638,-0.26,-0.035196573
372,44.68571384,-0.258,-0.035194322
373,44.80616114,-0.256,-0.035192788
374,44.9266096,-0.254,-0.03518565
375,45.04703064,-0.252,-0.035178229
376,45.16750098,-0.25,-0.035163149
377,45.28793616,-0.248,-0.035163805
378,45.40839784,-0.246,-0.035152778
379,45.52882986,-0.244,-0.035146981
380,45.64926876,-0.242,-0.035146862
381,45.76972598,-0.24,-0.035139069
382,45.89016458,-0.238,-0.035142094
383,46.01061406,-0.236,-0.035129383
384,46.13106274,-0.234,-0.035139173
385,46.25152114,-0.232,-0.035146475
386,46.37195836,-0.23,-0.035146266
387,46.492422,-0.228,-0.035151094
388,46.6128624,-0.226,-0.035156757
389,46.73332858,-0.224,-0.035172015
390,46.85378062,-0.222,-0.035183907
