wert,wert,wert,wert
s,t,U,I
283,34.06546566,-0.436,-5.35269E-06
284,34.18592254,-0.434,-5.32358E-06
285,34.30635786,-0.432,-5.29607E-06
286,34.42681658,-0.43,-5.27969E-06
287,34.5472549,-0.428,-5.25145E-06
288,34.66771786,-0.426,-5.22388E-06
289,34.78815518,-0.424,-5.20045E-06
290,34.90860672,-0.422,-5.17352E-06
291,35.02907284,-0.42,-5.14558E-06
292,35.14950734,-0.418,-5.12728E-06
293,35.26994882,-0.416,-5.09721E-06
294,35.39037036,-0.414,-5.07511E-06
295,35.5108282,-0.412,-5.05003E-06
296,35.63125094,-0.41,-5.02003E-06
297,35.75171222,-0.408,-4.99711E-06
298,35.87215794,-0.406,-4.97466E-06
299,35.99261304,-0.404,-4.95176E-06
300,36.1130577,-0.402,-4.92249E-06
301,36.23349242,-0.4,-4.89976E-06
302,36.35395274,-0.398,-4.872E-06
303,36.47438702,-0.396,-4.84707E-06
304,36.59483832,-0.394,-4.82349E-06
305,36.71528102,-0.392,-4.80104E-06
306,36.83573602,-0.39,-4.7695E-06
307,36.95617268,-0.388,-4.74859E-06
308,37.07663234,-0.386,-4.72388E-06
309,37.19707334,-0.384,-4.6967E-06
310,37.31752464,-0.382,-4.67376E-06
311,37.4379561,-0.38,-4.65557E-06
312,37.5584028,-0.378,-4.62862E-06
313,37.67885134,-0.376,-4.60678E-06
314,37.79929588,-0.374,-4.58034E-06
315,37.91973684,-0.372,-4.55655E-06
316,38.04019566,-0.37,-4.5379E-06
317,38.16065368,-0.368,-4.50946E-06
318,38.28108426,-0.366,-4.48483E-06
319,38.40152776,-0.364,-4.46421E-06
320,38.521958,-0.362,-4.43935E-06
321,38.64240844,-0.36,-4.41004E-06
322,38.7628355,-0.358,-4.38838E-06
323,38.88329378,-0.356,-4.36297E-06
324,39.00374014,-0.354,-4.33812E-06
325,39.12419514,-0.352,-4.31526E-06
326,39.24462548,-0.35,-4.29122E-06
327,39.36507356,-0.348,-4.26505E-06
328,39.48550744,-0.346,-4.25045E-06
329,39.60593772,-0.344,-4.22433E-06
330,39.72638572,-0.342,-4.20016E-06
331,39.84680982,-0.34,-4.17608E-06
332,39.9672678,-0.338,-4.1514E-06
333,40.08771974,-0.336,-4.13427E-06
334,40.20815418,-0.334,-4.10344E-06
335,40.3285981,-0.332,-4.08324E-06
336,40.44906578,-0.33,-4.05965E-06
337,40.56949106,-0.328,-4.03308E-06
338,40.6899487,-0.326,-4.00721E-06
339,40.81038348,-0.324,-3.98721E-06
340,40.93083322,-0.322,-3.96491E-06
341,41.05128506,-0.32,-3.94514E-06
342,41.1717247,-0.318,-3.92161E-06
343,41.29217608,-0.316,-3.89733E-06
344,41.41259998,-0.314,-3.8754E-06
345,41.5330682,-0.312,-3.84721E-06
346,41.65349936,-0.31,-3.82666E-06
347,41.7739428,-0.308,-3.80309E-06
348,41.89438268,-0.306,-3.78091E-06
349,42.01483326,-0.304,-3.76021E-06
350,42.1352695,-0.302,-3.74139E-06
351,42.25571958,-0.3,-3.71493E-06
352,42.3761447,-0.298,-3.69542E-06
353,42.49658794,-0.296,-3.66957E-06
354,42.6170291,-0.294,-3.64923E-06
355,42.7374605,-0.292,-3.62634E-06
356,42.85790378,-0.29,-3.59747E-06
357,42.97835686,-0.288,-3.57837E-06
358,43.0988108,-0.286,-3.55377E-06
359,43.21925536,-0.284,-3.53536E-06
360,43.33970256,-0.282,-3.50522E-06
361,43.46014918,-0.28,-3.48318E-06
362,43.58060758,-0.278,-3.4603E-06
363,43.70104166,-0.276,-3.4422E-06
364,43.82150312,-0.274,-3.42101E-06
365,43.94195026,-0.272,-3.39712E-06
366,44.06239796,-0.27,-3.37637E-06
367,44.1828282,-0.268,-3.35136E-06
368,44.30327174,-0.266,-3.32965E-06
369,44.42371226,-0.264,-3.30409E-06
370,44.54415712,-0.262,-3.2818E-06
371,44.66461134,-0.26,-3.25887E-06
372,44.78504276,-0.258,-3.24075E-06
373,44.905492,-0.256,-3.2162E-06
374,45.02593962,-0.254,-3.19327E-06
375,45.1463789,-0.252,-3.17006E-06
376,45.26680082,-0.25,-3.14848E-06
377,45.3872571,-0.248,-3.12546E-06
378,45.50769416,-0.246,-3.10336E-06
379,45.62814074,-0.244,-3.08764E-06
380,45.7485843,-0.242,-3.06526E-06
381,45.86907592,-0.24,-3.04417E-06
382,45.98953844,-0.238,-3.01896E-06
383,46.10997356,-0.236,-2.99582E-06
384,46.23042016,-0.234,-2.97385E-06
385,46.3508653,-0.232,-2.94975E-06
386,46.47132198,-0.23,-2.93195E-06
387,46.59176798,-0.228,-2.90656E-06
388,46.71221646,-0.226,-2.88538E-06
389,46.8326571,-0.224,-2.86581E-06
390,46.95311074,-0.222,-2.84169E-06
391,47.0735532,-0.22,-2.81927E-06
392,47.1940071,-0.218,-2.80076E-06
393,47.31444374,-0.216,-2.78003E-06
394,47.43488304,-0.214,-2.75894E-06
395,47.55532342,-0.212,-2.73561E-06
396,47.67576702,-0.21,-2.71116E-06
397,47.79623044,-0.208,-2.68876E-06
398,47.91665874,-0.206,-2.66983E-06
399,48.03711852,-0.204,-2.64762E-06
400,48.15755574,-0.202,-2.62645E-06
401,48.27801502,-0.2,-2.60364E-06
402,48.39846276,-0.198,-2.58116E-06
403,48.51891798,-0.196,-2.5625E-06
404,48.63936302,-0.194,-2.53947E-06
405,48.75981578,-0.192,-2.51732E-06
406,48.88023962,-0.19,-2.49404E-06
407,49.0007029,-0.188,-2.47009E-06
408,49.12113968,-0.186,-2.44975E-06
409,49.2415675,-0.184,-2.42776E-06
410,49.36201576,-0.182,-2.40457E-06
411,49.48246186,-0.18,-2.38171E-06
412,49.6029315,-0.178,-2.36194E-06
413,49.72336344,-0.176,-2.33977E-06
414,49.84382706,-0.174,-2.31692E-06
415,49.96427,-0.172,-2.29739E-06
416,50.08472868,-0.17,-2.27234E-06
417,50.2051581,-0.168,-2.25105E-06
418,50.32562274,-0.166,-2.22936E-06
419,50.44604942,-0.164,-2.20732E-06
420,50.56650452,-0.162,-2.18753E-06
421,50.68693788,-0.16,-2.16188E-06
422,50.80738646,-0.158,-2.14003E-06
423,50.92783634,-0.156,-2.1203E-06
424,51.04827216,-0.154,-2.09727E-06
425,51.16873236,-0.152,-2.07654E-06
426,51.28916076,-0.15,-2.05499E-06
427,51.40962298,-0.148,-2.03282E-06
428,51.53005972,-0.146,-2.01021E-06
429,51.65051182,-0.144,-1.98745E-06
430,51.77094728,-0.142,-1.96859E-06
431,51.89139402,-0.14,-1.9434E-06
432,52.01184378,-0.138,-1.92167E-06
433,52.13228586,-0.136,-1.90067E-06
434,52.25272078,-0.134,-1.87746E-06
435,52.37314768,-0.132,-1.85385E-06
436,52.49359898,-0.13,-1.83014E-06
437,52.61403664,-0.128,-1.8094E-06
438,52.73447382,-0.126,-1.78646E-06
439,52.85490418,-0.124,-1.76329E-06
440,52.9753466,-0.122,-1.74209E-06
441,53.09577272,-0.12,-1.7194E-06
442,53.21621904,-0.118,-1.69766E-06
443,53.33666296,-0.116,-1.67188E-06
444,53.45710356,-0.114,-1.64999E-06
445,53.5775431,-0.112,-1.62651E-06
446,53.69799972,-0.11,-1.60425E-06
447,53.81845084,-0.108,-1.57997E-06
