t / s;T_1 / °C;T_2 / °C;T_3 / °C;T_4 / °C;&DT / °C
282;17,2;21,7;13,1;26,3;-4,5
283;17,2;21,6;13,1;26,3;-4,4
284;17,2;21,6;13,1;26,3;-4,4
285;17,1;21,6;13,1;26,3;-4,5
286;17,1;21,7;13,1;26,3;-4,6
287;17,1;21,7;13,1;26,3;-4,6
288;17,1;21,7;13,1;26,3;-4,6
289;17;21,8;13,1;26,4;-4,8
290;17;21,8;13,1;26,4;-4,8
291;17;21,8;13;26,4;-4,8
292;16,9;21,9;13;26,4;-5
293;16,9;21,9;13;26,4;-5
294;16,9;21,9;13;26,4;-5
295;16,9;21,9;13;26,4;-5
296;16,9;21,9;13;26,4;-5
297;16,9;22;13;26,4;-5,1
298;16,9;22;13;26,4;-5,1
299;16,8;22;13;26,5;-5,2
300;16,8;22;13;26,5;-5,2
301;16,8;22;13;26,5;-5,2
302;16,8;22;13;26,5;-5,2
303;16,8;22;13;26,5;-5,2
304;16,8;22;13;26,5;-5,2
305;16,7;22;13;26,6;-5,3
306;16,7;22;13;26,6;-5,3
307;16,6;22;13;26,6;-5,4
308;16,6;22;13;26,6;-5,4
309;16,6;22;12,9;26,6;-5,4
310;16,5;22;12,9;26,6;-5,5
311;16,5;22,1;12,9;26,6;-5,6
312;16,5;22,1;12,9;26,7;-5,6
313;16,5;22,1;12,9;26,7;-5,6
314;16,5;22,1;12,9;26,7;-5,6
315;16,5;22,1;12,9;26,7;-5,6
316;16,5;22,1;12,9;26,7;-5,6
317;16,5;22,1;12,9;26,7;-5,6
318;16,5;22,4;12,9;26,7;-5,9
319;16,5;22,6;12,8;26,7;-6,1
320;16,5;22,8;12,8;26,7;-6,3
321;16,5;22,5;12,8;26,7;-6
322;16,4;22,3;12,7;26,7;-5,9
323;16,4;22,5;12,7;26,7;-6,1
324;16,4;22,9;12,7;26,7;-6,5
325;16,4;23,1;12,7;26,7;-6,7
326;16,4;23,4;12,6;26,7;-7
327;16,3;23,6;12,6;26,7;-7,3
328;16,2;23,7;12,6;26,7;-7,5
329;16,6;23,6;12,6;26,6;-7
330;16,8;23,5;12,6;26,6;-6,7
331;16,9;23,5;12,5;26,6;-6,6
332;16,6;23,7;12,5;26,6;-7,1
333;16,6;23,7;12,6;26,5;-7,1
334;16,9;23,5;12,6;26,5;-6,6
335;17;23,4;12,7;26,4;-6,4
336;17;23,4;12,7;26,4;-6,4
337;16,9;23,5;12,7;26,4;-6,6
338;16,9;23,6;12,7;26,4;-6,7
339;17,4;23,9;12,7;26,3;-6,5
340;17,3;23,9;12,7;26,3;-6,6
341;17,2;23,7;12,7;26,3;-6,5
342;17,4;23,6;12,7;26,3;-6,2
343;17,3;23,6;12,7;26,3;-6,3
344;17,3;23,4;12,6;26,2;-6,1
345;17,4;23,4;12,6;26,2;-6
346;17,8;23,3;12,6;26,2;-5,5
347;17,9;23,2;12,6;26,2;-5,3
348;17,9;23,2;12,5;26,2;-5,3
349;17,9;23,2;12,5;26,2;-5,3
350;17,8;23,2;12,5;26,2;-5,4
351;17,3;23,2;12,4;26,2;-5,9
352;17;23,2;12,3;26,2;-6,2
353;16,8;23,3;12,3;26,2;-6,5
354;16,9;23,3;12,3;26,2;-6,4
355;17;23,3;12,3;26,2;-6,3
356;17;23,3;12,3;26,3;-6,3
357;17,1;23,3;12,3;26,3;-6,2
358;17,1;23,3;12,3;26,3;-6,2
359;17,4;23,4;12,3;26,3;-6
360;17,4;23,4;12,3;26,3;-6
361;17,1;23,5;12,3;26,3;-6,4
362;16,9;23,5;12,3;26,4;-6,6
363;16,7;23,5;12,3;26,4;-6,8
364;16,6;23,6;12,3;26,4;-7
365;16,6;23,6;12,2;26,5;-7
366;16,5;23,6;12,2;26,5;-7,1
367;16,5;23,6;12,2;26,6;-7,1
368;16,3;23,5;12,3;26,6;-7,2
369;16,3;23,5;12,3;26,7;-7,2
370;16,6;23,5;12,3;26,7;-6,9
371;16,7;23,5;12,3;26,8;-6,8
372;16,7;23,5;12,3;26,8;-6,8
373;16,7;23,5;12,3;26,9;-6,8
374;16,8;23,5;12,3;27;-6,7
375;16,8;23,6;12,3;27;-6,8
376;16,7;23,6;12,3;27,1;-6,9
377;16,7;23,6;12,3;27,1;-6,9
378;16,7;23,6;12,3;27,1;-6,9
379;16,7;23,5;12,3;27,1;-6,8
380;16,8;23,5;12,3;27,1;-6,7
381;16,8;23,6;12,3;27,2;-6,8
382;16,8;23,9;12,3;27,2;-7,1
383;16,7;24;12,3;27,2;-7,3
384;16,7;24;12,3;27,2;-7,3
385;16,6;23,8;12,3;27,2;-7,2
386;16,5;23,7;12,3;27,3;-7,2
387;16,5;23,5;12,3;27,3;-7
388;16,5;23,5;12,3;27,4;-7
389;16,6;23,7;12,3;27,4;-7,1
390;16,6;23,7;12,3;27,4;-7,1
391;16,6;23,8;12,2;27,4;-7,2
392;16,6;23,9;12,2;27,4;-7,3
393;16,5;23,9;12,2;27,5;-7,4
